from,to,weight
pftg,trisweb,1
trisweb,stephanvane,2
trisweb,thezed,1
thezed,rmm5t,1
pixeltrix,gja,2
steveklabnik,jstorimer,3
jstorimer,timhaines,1
timhaines,RepublicOfAppsLLC,1
RepublicOfAppsLLC,rafaelfranca,1
Spaceghost,knewter,1
pivotal-chorus,bronson,1
bronson,pjungwir,1
pjungwir,kristopher,1
kristopher,pixeltrix,1
pixeltrix,codeodor,1
codeodor,paulwittmann,1
paulwittmann,khustochka,1
khustochka,rafaelfranca,4
rafaelfranca,pmarreck,1
pmarreck,bsodmike,1
bsodmike,orangethunder,1
rafaelfranca,jjb,3
rafaelfranca,avit,1
wlipa,rafaelfranca,8
rafaelfranca,coldnebo,2
rafaelfranca,dimko,1
betelgeuse,senny,3
softpro,senny,1
rafaelfranca,samsonasu,1
rafaelfranca,eviltrout,3
rafaelfranca,nlalonde,2
eviltrout,fredwu,1
fredwu,jastix,1
jastix,zacksiri,1
zacksiri,sohara,1
sohara,tomdev,1
tomdev,cyrusstoller,1
cyrusstoller,tenderlove,1
tenderlove,jordimassaguerpla,1
jordimassaguerpla,rafaelfranca,2
jordimassaguerpla,gucki,1
gucki,pic,1
pic,pascalbetz,1
pascalbetz,grrrisu,1
grrrisu,rafaelfranca,1
carlosantoniodasilva,gufo,1
gufo,josevalim,2
gufo,thedarkone,1
thedarkone,loopj,1
loopj,gufo,1
sikachu,spierepf,1
voxik,carlosantoniodasilva,3
voxik,steveklabnik,7
carlosantoniodasilva,dembskoi,1
josevalim,jc00ke,1
jc00ke,radar,1
radar,vipulnsward,1
vipulnsward,matthewford,1
matthewford,prathamesh-sonpatki,1
prathamesh-sonpatki,thedarkone,1
senny,elektronaut,2
senny,unity,1
tenderlove,guilleiguaran,4
rmm5t,todd,4
todd,carlosantoniodasilva,3
todd,PikachuEXE,1
PikachuEXE,senny,4
jeremy,bcardarella,9
jeremy,indirect,1
indirect,bcardarella,4
j-w,rafaelfranca,1
masterkain,tkhr,1
tkhr,joelr,1
joelr,arunagw,1
arunagw,tkhr,1
tkhr,ledermann,1
ledermann,semmons99,1
semmons99,djhopper01,2
semmons99,markysharky70,1
markysharky70,mvlwn,1
mvlwn,robertcigan,1
robertcigan,aminariana,1
aminariana,Sylvain,1
Sylvain,jalada,1
jalada,fiedl,1
fxn,drbrain,1
rafaelfranca,xxx,6
nathanvda,xxx,1
xxx,cbartlett,1
KensoDev,arikfr,3
vipulnsward,stevenharman,1
stevenharman,neerajdotname,1
neerajdotname,fxn,8
marclipovsky,senny,1
senny,tigris,9
tigris,neerajdotname,1
carlosantoniodasilva,parndt,5
senny,lazing,1
rafaelfranca,hackeron,5
hackeron,senny,1
carlosantoniodasilva,norman,3
norman,vipulnsward,3
carlosantoniodasilva,rrmartins,5
rrmartins,macksmind,1
macksmind,jonleighton,6
senny,askehansen,2
askehansen,carlosantoniodasilva,4
steveklabnik,macksmind,6
macksmind,fredwu,2
robertomiranda,ardavis,1
ardavis,rafaelfranca,1
steveklabnik,dalton,2
steveklabnik,jmaniv,3
steveklabnik,madmax,1
madmax,carlosantoniodasilva,1
brandonhilkert,carlosantoniodasilva,1
spastorino,neerajdotname,1
neerajdotname,trevorturk,1
rafaelfranca,jscipione,2
coreyward,wangjohn,1
steveklabnik,jasnow,1
jasnow,rafaelfranca,4
senny,sadfuzzy,1
sadfuzzy,mitio,1
mitio,senny,2
carlosantoniodasilva,justinvj15,1
steveklabnik,psteiner,4
jonleighton,sharkzp,1
sharkzp,rrmartins,1
rrmartins,tigris,1
steveklabnik,mmoss,1
mmoss,senny,1
pixeltrix,mmoss,1
mmoss,murrificus,1
senny,cgr,3
msaspence,wangjohn,1
steveklabnik,imanel,2
imanel,pixeltrix,2
imanel,senny,2
cemeng,sakuro,1
pixeltrix,msaspence,1
pftg,neerajdotname,2
pftg,jhummel,1
slainer68,jherdman,1
jherdman,steveklabnik,1
senny,pwnall,1
steveklabnik,krainboltgreene,8
senny,krainboltgreene,1
krainboltgreene,rafaelfranca,1
steveklabnik,FooBarWidget,2
erichmenge,steveklabnik,4
erichmenge,route,1
route,jonleighton,2
rafaelfranca,fernandomm,2
fernandomm,pixeltrix,3
trevorturk,carlosantoniodasilva,6
josevalim,jeremy,3
pixeltrix,jeremy,3
imanel,ginter,1
ginter,korny,1
pixeltrix,mrbrdo,1
steveklabnik,Tonkpils,1
carlosantoniodasilva,garethrees,3
garethrees,steveklabnik,4
senny,googya,1
senny,rochefort,2
vipulnsward,dahakawang,2
carlosantoniodasilva,kidpollo,1
steveklabnik,tonycoco,1
sikachu,hone,1
hone,steveklabnik,4
carlosantoniodasilva,alexeymuranov,10
alexeymuranov,senny,25
alexeymuranov,steveklabnik,9
carlosantoniodasilva,dimko,1
senny,js-coder,3
js-coder,ptn,6
js-coder,steveklabnik,3
carlosantoniodasilva,ptn,1
bdmac,Empact,2
bdmac,carlosantoniodasilva,7
carlosantoniodasilva,rynmng,2
rynmng,fightingtheboss,2
pixeltrix,mikesnare,4
mikesnare,steveklabnik,2
carlosantoniodasilva,waynn,2
luke-gru,pixeltrix,3
pixeltrix,miry,3
steveklabnik,vijaydev,10
vijaydev,cfabianski,1
josevalim,ptn,1
rafaelfranca,cfabianski,14
carlosantoniodasilva,imanel,1
imanel,sognat,1
sognat,sikachu,1
pixeltrix,benoist,6
tenderlove,josevalim,5
josevalim,blowmage,2
blowmage,janko-m,1
janko-m,wangjohn,1
schneems,jfirebaugh,4
carlosantoniodasilva,jleishman,1
nertzy,rafaelfranca,4
hbakhtiyor,steveklabnik,1
schneems,hbakhtiyor,1
schneems,rwz,3
rwz,parndt,2
mattdbridges,hbakhtiyor,1
senny,jim-12gigs,3
BanzaiMan,pixeltrix,6
BanzaiMan,spastorino,2
carlosantoniodasilva,siong1987,1
carlosantoniodasilva,ognevsky,6
carlosantoniodasilva,joneslee85,6
ognevsky,zires,1
fxn,voxik,10
carlosantoniodasilva,robertjwhitney,5
robertjwhitney,steveklabnik,2
pixeltrix,GSI,4
pixeltrix,spastorino,2
spastorino,GSI,1
pixeltrix,lawrencepit,4
carlosantoniodasilva,lawrencepit,4
lawrencepit,schneems,2
lawrencepit,orslumen,1
rafaelfranca,djcp,1
djcp,dvdplm,1
rafaelfranca,manvsmachine,5
steveklabnik,zmoazeni,10
carlosantoniodasilva,exviva,22
rafaelfranca,mmb,1
mmb,neerajdotname,2
mmb,carlosantoniodasilva,1
sikachu,morgoth,1
judofyr,steveklabnik,2
adomokos,senny,2
rafaelfranca,adomokos,9
senny,kostya,4
sgrif,josevalim,2
sgrif,sikachu,2
sgrif,geopet,1
geopet,guilleiguaran,1
rafaelfranca,ognevsky,2
ognevsky,dhh,1
sikachu,carlosantoniodasilva,7
carlosantoniodasilva,semaperepelitsa,7
semaperepelitsa,rafaelfranca,8
sikachu,mhuggins,3
neerajdotname,cliochris,4
schneems,sikachu,1
sikachu,cliochris,1
cliochris,schneems,3
senny,bjoernbur,2
bjoernbur,ognevsky,1
ognevsky,egilburg,2
ognevsky,pixeltrix,1
homakov,senny,6
senny,hsume2,4
NZKoz,hsume2,4
hsume2,steveklabnik,1
ippeiukai,pixeltrix,4
pixeltrix,kevingriffin,1
kevingriffin,carlosantoniodasilva,1
carlosantoniodasilva,fburleigh,1
fburleigh,norman,3
steveklabnik,drbrain,3
drbrain,Val,1
carlosantoniodasilva,RKushnir,5
carlosantoniodasilva,casoetan,1
casoetan,senny,10
senny,choudhuryanupam,2
pixeltrix,ankane,1
sideshowcoder,senny,7
carlosantoniodasilva,sideshowcoder,1
sideshowcoder,rafaelfranca,1
sikachu,guilleiguaran,4
guilleiguaran,hardipe,1
kmerz,rafaelfranca,1
steveklabnik,spohlenz,1
spohlenz,schneems,2
spohlenz,carlosantoniodasilva,2
spohlenz,pixeltrix,1
parndt,guilleiguaran,2
steveklabnik,parndt,9
steveklabnik,jeem,1
ersatzryan,benhamill,1
benhamill,LouisStAmour,1
LouisStAmour,laserlemon,1
